ID,Target
0,0
1,14
2,18
3,20
4,20
5,15
6,20
7,14
8,22
9,20
10,23
11,22
12,27
13,20
14,20
15,0
16,18
17,20
18,18
19,0
20,22
21,27
22,18
23,13
24,20
25,27
26,20
27,14
28,18
29,20
30,14
31,18
32,0
33,20
34,14
35,20
36,18
37,2
38,2
39,1
40,20
41,1
42,13
43,14
44,22
45,1
46,14
47,22
48,27
49,20
50,20
51,20
52,14
53,18
54,5
55,13
56,5
57,0
58,20
59,22
60,18
61,18
62,22
63,22
64,20
65,20
66,20
67,22
68,1
69,22
70,20
71,8
72,1
73,20
74,20
75,15
76,1
77,14
78,0
79,20
80,20
81,20
82,14
83,13
84,20
85,14
86,22
87,22
88,20
89,15
90,13
91,22
92,1
93,25
94,20
95,20
96,13
97,0
98,22
99,15
100,22
101,5
102,27
103,20
104,18
105,13
106,14
107,22
108,19
109,18
110,14
111,21
112,0
113,5
114,27
115,5
116,0
117,22
118,20
119,3
120,20
121,20
122,10
123,29
124,27
125,20
126,13
127,15
128,20
129,4
130,20
131,7
132,22
133,20
134,13
135,22
136,4
137,22
138,18
139,20
140,20
141,20
142,26
143,1
144,26
145,14
146,22
147,15
148,15
149,14
150,3
151,29
152,20
153,18
154,18
155,16
156,14
157,1
158,22
159,18
160,14
161,18
162,5
163,0
164,20
165,14
166,22
167,20
168,0
169,22
170,20
171,1
172,14
173,22
174,22
175,18
176,20
177,18
178,18
179,17
180,14
181,0
182,20
183,14
184,15
185,14
186,22
187,14
188,20
189,22
190,29
191,14
192,14
193,18
194,1
195,5
196,22
197,15
198,14
199,14
200,14
201,13
202,14
203,5
204,8
205,20
206,14
207,20
208,14
209,5
210,20
211,20
212,20
213,15
214,24
215,0
216,20
217,20
218,1
219,2
220,18
221,0
222,22
223,5
224,20
225,20
226,0
227,20
228,20
229,22
230,18
231,20
232,14
233,5
234,27
235,20
236,20
237,22
238,7
239,20
240,7
241,14
242,3
243,22
244,14
245,22
246,21
247,22
248,20
249,22
250,5
251,22
252,18
253,14
254,20
255,14
256,22
257,13
258,20
259,5
260,20
261,14
262,22
263,22
264,20
265,20
266,13
267,20
268,20
269,20
270,17
271,20
272,20
273,14
274,18
275,14
276,5
277,0
278,22
279,2
280,18
281,22
282,20
283,22
284,20
285,22
286,20
287,20
288,18
289,27
290,5
291,20
292,1
293,13
294,1
295,14
296,5
297,22
298,18
299,20
300,14
301,5
302,1
303,20
304,18
305,22
306,20
307,20
308,14
309,20
310,5
